PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
63.17,None,12.82,None,8.96,0.67,21.37
32.68,None,7.79,None,4.06,0.62,7.8
38.48,None,7.77,None,2.96,0.84,14.59
24.66,None,8.15,None,6.81,0.74,15.23
21.94,None,7.86,None,13.19,0.82,18.89
33.85,None,10.07,None,13.1,0.66,17.24
67.98,None,23.52,None,15.44,0.72,12.72
73.87,None,12.91,None,9.28,0.67,28.16
50.49,None,13.01,None,3.81,0.7,17.45
56.35,None,13.22,None,15.47,0.65,23.6
30.16,None,11.61,None,12.2,0.58,24.26
51.52,None,9.76,None,8.95,0.62,14.95
15.51,None,11.03,None,11.4,0.6,12.53
15.61,None,11.07,None,9.85,0.46,15.16
42.54,None,9.89,None,5.43,0.49,6.78
45.7,None,10.44,None,4.57,0.63,7.31
24.51,None,13.55,None,3.39,0.49,13.27
5.9,None,14.38,None,3.02,0.46,31.04
62.99,None,14.19,None,8.42,0.46,42.55
36.17,None,15.62,None,4.09,0.59,39.79
33.64,None,23.98,None,3.36,0.66,16.46
31.15,None,22.79,None,3.96,0.57,21.43
18.01,None,24.01,None,6.22,0.56,20.93
37.04,None,22.56,None,4.21,0.52,15.05
43.31,None,24.84,None,3.79,0.54,14.34
26.81,None,22.67,None,3.25,0.44,20.53
38.86,None,26.41,None,4.28,0.72,12.18
43.56,None,28.69,None,4.26,0.83,9.1
39.38,None,22.86,None,7.46,0.7,17.07
34.59,None,21.43,None,9.84,0.6,15.95
44.05,None,22.94,None,8.41,0.49,24.5
62.33,None,26.4,None,8.65,0.47,20.06
46.61,None,29.29,None,7.95,0.43,27.05
61.21,None,26.09,None,4.93,0.52,33.2
76.85,None,26.84,None,3.8,0.59,29.29
50.33,None,23.99,None,7.41,0.63,33.7
56.23,None,28.61,None,3.05,0.64,25.08
52.34,None,25.83,None,5.72,0.7,21.75
38.79,None,23.56,None,4.74,0.57,27.62
57,None,22.97,None,6.48,0.57,17.97
37.1,None,17.39,None,6.18,0.66,18.55
40.65,None,24.61,None,4.19,0.76,24.64
65.57,None,18.82,None,5.16,0.53,27.39
45.1,None,19.81,None,4.14,0.6,31.19
43.9,None,19.34,None,4.77,0.42,43.97
29.55,None,17.41,None,3.74,0.52,19.19
39.04,None,15.83,None,4.87,0.54,13.81
46.23,None,16.22,None,5.92,0.83,24.96
35.73,None,11.56,None,6.32,0.56,30.67
41.68,None,12.93,None,8.93,0.38,39.27
24.21,None,14.66,None,7.23,0.59,20.44
28.29,None,16.8,None,5.73,0.44,21.86
39.67,None,29.01,None,6.66,0.45,20.19
39.36,None,24.78,None,3.91,0.62,18.27
43.4,None,24.33,None,5.06,0.51,21.24
18.35,None,23.92,None,3.84,0.55,23.02
52.92,None,24.97,None,7.8,0.56,25.13
62.54,None,24.73,None,11.26,0.62,29.91
114.04,None,28.18,None,11.03,0.72,29.11
36.4,None,18.36,None,4.02,0.46,28.69
26.45,None,19.99,None,4.9,0.44,27.56
28.49,None,14.18,None,3.95,0.46,17.62
24.73,None,10.74,None,3.96,0.6,23.83
22.92,None,18.86,None,3.83,0.56,17.05
35.1,None,15.55,None,4.38,0.59,18.02
40.88,None,21.06,None,3.92,0.55,27.55
48.57,None,26.47,None,2.11,0.54,29.56
62.17,None,24.76,None,1.63,0.58,26.13
56.81,None,28.35,None,3.54,0.86,28.63
54.07,None,26.51,None,3.49,0.71,27.69
48.53,None,21.88,None,5.02,0.61,30.18
51.08,None,24.31,None,4.26,0.73,27.65
54.02,None,23.24,None,5.16,0.71,29.97
43.21,None,21.34,None,3.4,0.59,14.42
41.29,None,21.8,None,3.35,0.51,18.15
43.39,None,18.35,None,4.64,0.57,45.7
42.71,None,19.75,None,4.31,0.42,33.67
36.07,None,24.69,None,4.55,0.5,21.93
32.92,None,22.64,None,4.19,0.63,18.54
37.04,None,13.68,None,3.23,0.6,32.77
38.26,None,25.42,None,3.82,0.66,40.38
44.55,None,19.86,None,3.28,0.6,45.27
38.85,None,17.82,None,3.31,0.52,25.39
33.75,None,15.59,None,3.58,0.49,29.09
35.21,None,11.4,None,3.69,0.35,30.59
39.03,None,11.87,None,5.08,0.5,27.34
38.65,None,18.36,None,5.26,0.52,None
37.56,None,22.95,None,6.67,0.56,4.96
46.15,None,25.22,None,6.28,0.53,11.39
74.77,None,27.03,None,5.44,0.65,34.28
66.12,None,26.05,None,5.91,0.66,28.4
46.6,None,21.44,None,5.77,0.49,29.01
34.76,None,20.69,None,5.02,0.59,17.09
53.54,None,25.57,None,5.28,0.86,16.17
47.15,None,21.74,None,5.3,0.65,26.89
33.89,None,26.15,None,5.02,0.45,31.39
46.3,None,24.05,None,6.29,0.48,15.19
34.02,None,13.52,None,5.13,0.41,18.12
31.21,None,13.6,None,4.31,0.41,29.03
42.55,None,16.39,None,6.24,0.64,23.59
45.34,None,19.3,None,9.87,0.76,30.96
40.38,None,8.97,None,3.4,0.58,30.51
40.24,None,12.94,None,4.4,0.63,17.67
35.83,None,16.63,None,6.12,0.42,26.06
46.47,None,22.64,None,18.43,0.65,28.71
36.92,None,13.61,None,4.55,0.7,49.27
41.66,None,16.12,None,7.49,0.71,13.54
47.4,None,14.74,None,5.91,0.48,37.12
44.11,None,19.35,None,5.04,0.32,24.51
44.53,None,17.61,None,3.89,0.38,13.73
25.62,None,6.81,None,6.68,0.5,16.76
21.94,None,10.91,None,4.43,0.54,34.69
