PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
41.77,79.27,17.21,27.12,36.54,1.44,23.97
36.45,71.36,14.8,22.31,34.45,1.41,26.06
29.19,59.9,12.92,19.09,30.52,1.36,28.99
29.89,60.98,11.99,17.72,26.44,1.67,22.73
33.15,65.99,12.52,15.84,24.43,1.85,28.23
36.86,71.7,15.17,17.99,22.22,1.88,31.31
42.83,80.88,15.28,20.96,20.93,1.25,49.17
35.17,69.1,15.25,16.66,20.6,1.45,58.91
47.52,88.12,19.32,18.7,20.34,1.64,43.52
38.65,75.04,15.94,17.59,20.13,1.22,48.78
36.8,71.75,16.46,17.23,20.45,1.08,166.06
42.06,79.65,14.91,18.21,20.78,0.87,65.78
44.73,83.82,13.17,16.64,20.57,1.45,104.77
38.71,74.55,14.84,16.84,20.65,1.18,126.16
43.62,82.11,17.2,17.55,20.62,1.55,94.45
42.02,79.65,17.73,18.24,20.56,1.07,114.89
34.65,68.3,12.05,15.04,20.41,1.1,95.1
45.5,85.01,12.74,14.09,19.92,1.15,47.49
55.82,100.87,15.55,17.21,19.95,0.93,99.57
35.63,69.81,11.84,17.11,20.12,1.11,182.94
31.31,63.17,9.95,14.88,20.2,1.19,163.31
24.48,52.76,9.81,13.58,20.15,1.34,159.56
31.99,64.24,11.91,18.55,20.3,1.22,91.19
39.14,75.22,14.12,27.34,20.63,1.12,47.23
38.45,74.16,None,None,21.25,0.96,64.73
27.52,57.34,None,None,21.78,1.04,81.35
34.36,67.87,13.26,17.32,18.92,1.4,35.7
31.51,63.48,14.19,18.85,13.94,1.8,34.42
40.45,77.23,16.11,21.52,14.26,1.54,32.19
43.25,81.54,15.76,17.66,14.44,1.48,35.15
43.04,81.22,15.3,15.32,14.87,1.85,42.18
37.58,72.82,17.97,18.13,14.87,1.84,40.92
30.03,61.2,12.37,12.76,15.63,1.55,47.33
29.56,60.48,10.83,15.31,15.43,1.45,51.5
43.63,82.12,14.19,18.92,15.78,1.03,39.47
44.02,82.68,13.04,14.8,14.74,1.13,39.13
43.97,82.64,15.69,17.94,14.72,0.97,35.03
39.1,75.16,15.91,17.64,14.7,1.22,36.99
40.83,77.58,17.55,18.83,14.82,1.46,33.02
43.61,82.09,16.33,19.25,14.79,1.21,51.07
47.81,88.56,15.65,17.03,14.96,1.09,101.74
48.26,89.25,16.73,20.57,14.79,1.12,102.95
52.71,96.08,17.61,17.63,14.82,1.38,70.35
54.98,99.39,16.45,19.59,15.13,1.27,129.99
37.35,72.46,11.05,18.2,15.3,1.3,149.06
38.4,74.08,8.85,17.81,15.95,1.71,135.02
38.52,74.29,9.5,16.42,16.06,1.54,125.24
47.49,88.07,9.56,16.47,16.26,1.31,124.21
44.96,84.18,18.98,20.8,16.45,1.46,80.71
43.87,82.4,7.13,20.78,15.52,1.24,26.61
36.44,71.17,6.2,10.54,14.26,1.25,4.83
31.56,63.55,5.58,15.85,15.7,1.25,2.37
30.62,62.11,5.46,31.25,15.38,1.25,1.78
24.68,52.97,5.17,28.72,15.64,1.25,2.13
21.92,48.72,4.85,32.06,15.64,1.25,0.99
19.75,45.38,4.02,38.43,15.67,1.25,2.21
21.68,48.35,4.98,28.01,15.66,1.26,1.47
18.67,43.76,4.44,35.53,15.49,1.25,3.56
19.22,44.56,4.68,42.69,15.61,1.25,8.72
17.98,42.65,4.92,32.2,15.76,1.25,43.07
17.23,41.5,5.09,27.12,16.11,1.25,41.29
15.59,38.99,4.3,29.25,16.16,1.25,55.04
13.73,36.6,15.39,41.01,28.24,2.47,9.38
12.06,33.56,11.44,36.86,28.02,1.06,9.18
None,None,None,None,None,None,None
None,None,None,None,None,None,None
23.1,50.22,6.27,29.66,9.82,1.5,10.4
11.84,33.21,3.44,32.97,10.31,0.97,13.24
14.8,37.77,9.39,20.47,10.06,1.14,20.37
9.88,30.2,5.01,21.66,9.67,0.66,19.05
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
16.63,40.63,5.03,20.43,10.38,1.24,22.99
14.25,36.92,3.85,24.99,10.31,1.91,23.93
14.67,37.58,3.66,20.49,10.64,1.68,26.44
13.35,35.53,3.82,24.02,11.22,1.44,27.25
15.93,39.51,9.74,22.95,11.25,2.13,25.97
18.75,43.85,11.74,28.09,11.13,1.87,29.6
16.07,39.7,5.78,21.29,11.11,2.07,42.12
15.79,39.29,3.21,14.75,8.34,1.91,24.97
19.08,44.35,3.69,11.94,8.64,1.63,118.59
22.96,50.32,5.63,19.07,10.09,1.55,71.44
24.07,52.03,4.42,30.11,12.5,1.64,34.63
44.02,82.72,14.54,31.73,10.33,1.66,55.86
30.68,62.27,4.63,22.81,11.62,0.82,25.08
27.25,56.89,4.62,21.35,12.19,0.85,15.14
34.42,67.95,15.86,28.25,13.14,1.32,13.48
31.24,63.07,6.89,18.25,11.54,1.08,18.04
38.51,74.25,10.07,13.71,10.94,0.81,25.64
39.6,75.92,7.24,11.07,10.95,0.88,33.87
50.18,92.2,12.8,19.08,10.8,1.05,18.03
36.22,70.73,10.15,37.11,14.59,1.16,13.73
32.76,65.4,18.36,152.25,16.03,1.05,14.81
27.8,57.77,11.01,75.99,13.45,0.89,16.92
24.05,52,10.65,47.63,13.15,1.11,23.44
28.24,58.44,10.83,42.7,13.88,1.36,31.97
21.72,48.41,17.43,33.99,14.7,1.36,35.1
20.21,46.09,12.51,26.49,14.37,1.29,33.68
24.44,52.59,10.91,25.3,12.29,1.13,28.74
17.06,41.25,6.54,19.57,13.93,1.13,34.48
20.06,45.87,7.94,19.88,14.78,1.14,43.13
35.98,70.35,14.45,22.34,12.4,1.07,39.54
32.17,64.49,14.72,20.25,12.35,0.79,31.04
36.15,70.46,13.49,18.89,12.32,0.7,38.2
26.04,55.06,9.95,17.99,12.34,0.91,88.7
29.74,60.76,7.55,14.07,12.45,0.83,51.62
32.97,65.72,10.67,14.52,13.76,1.22,38.03
31.42,63.33,15.95,22.29,15.39,1.24,36.94
29.37,60.19,13.74,24,14.6,1.17,49.63
29.97,61.1,13.54,22.74,13.95,1.1,53.97
None,None,None,None,None,None,None
None,None,None,None,None,None,None
33.26,66.17,14.73,18.76,19.06,1.4,53.12
33.66,66.79,17.06,31.13,21.66,1.07,42.29
36.19,70.67,14.45,27.98,17.2,1.08,50.4
33.69,66.83,10.07,16.12,11.95,0.92,52.38
41.51,26.93,8.99,12.38,12.1,0.88,95.73
86.56,27.11,6.06,10.62,11.82,0.97,54.6
64.31,57.79,7.87,11.27,11.82,0.77,66.08
39.3,75.46,11.49,15.68,11.49,1.04,49.3
38.09,73.6,9.4,14.88,11.44,1.19,40.93
35.01,68.86,14.62,19.1,11.27,0.86,35.92
31.82,63.96,10.61,19.59,11.11,1.32,36.46
33.2,66.08,13.56,18.41,13.56,1.62,31.03
36.43,71.08,9.5,22.97,18.26,1.12,60.43
31.02,62.73,10.47,22,13.82,0.96,74.58
39.71,75.97,7.79,14.18,12.4,1,60.07
27.67,57.57,7.23,10.83,12.17,0.9,47.27
28.07,58.18,7.77,13.73,13.49,1.04,49.18
27.54,57.37,12.54,24.92,17.01,1.46,42.72
21.97,48.58,8.74,21.01,16.43,1.4,64.3
20.65,46.82,7.77,19.97,19.02,1.31,77.91
18.54,43.52,13.21,25.43,16.57,1.52,14.94
19.79,45.45,10.7,20.89,12.95,1.36,12.12
126.77,159.22,8.16,17.89,12.32,1.03,14.98
7.27,26.18,13.59,24.29,11.65,1.2,12.46
28.93,35.45,7.49,16.85,12.18,1.27,13.04
10.45,31.08,9.13,17.8,12.33,1.11,13.13
12.88,34.82,10.14,17.43,12.39,0.94,12.46
22,48.86,10.3,19.01,11.57,0.88,12.87
16.65,40.62,9.19,14.95,10.33,1.07,19.65
35.77,53.5,9.1,19.03,10.71,1.28,153.91
17.04,41.22,8.76,19.82,9.88,1.02,162.53
None,None,8.08,21.83,13.34,1.62,20.06
27.45,46.15,18.89,28.14,15.22,1.92,11.12
11.18,32.18,11.36,23.03,17.08,1.21,10.86
20.94,44.1,10.81,21.81,15.61,1.31,11.92
4.43,21.82,11.92,22.13,15.46,1.2,10.27
2.12,18.27,11.53,24.15,13.54,1.3,12.88
6.32,24.72,12.08,20.71,14.46,1.29,9.32
2.09,18.26,11.19,20.66,14.09,1.19,12.38
3.65,20.61,11.18,20.3,13.4,1.14,10.76
35.01,65.86,10.26,15.46,14.06,1.13,21.06
253.97,105.16,12.02,22.06,13.38,1.07,16.63
48.94,75.3,11.5,22.58,13.63,1.08,10.62
15.35,23.61,12.03,23.37,13.75,1.06,9.4
18.54,28.52,12.31,22.41,13.75,1.17,12.73
43.16,66.79,13.58,24.46,13.95,1.23,9.15
43.9,67.55,11.33,25.48,13.69,1.17,25.66
27.04,41.52,8.28,23.44,13.69,1.04,None
31.46,48.41,9.22,23.02,14.06,1.29,9.69
43.58,67.01,9.37,21.15,None,1.07,9.44
41.02,63.11,7.9,18.85,None,1.26,9.5
23.17,35.64,10.28,30.82,None,1.06,9.77
21.24,32.66,22.99,32.05,None,1.2,11.81
18.98,29.26,10.87,29.21,None,1.43,10.33
17.2,26.47,10.66,23,None,1.19,9.07
23.25,35.77,12.8,25,None,1.46,10.72
17.06,26.2,11.64,21.41,None,1.62,11.23
21.23,32.67,7.63,17.16,1.84,0.98,11.46
12.13,18.67,5.91,12.09,2.08,1.15,46.17
13.51,20.79,5.63,11.55,2.24,1.07,148.81
10.97,16.87,6.94,14.12,2.31,1.13,None
35.24,54.22,7.97,19.67,2.85,1.16,21.99
37.76,58.1,8.37,19.14,3.1,1.18,16
39.61,60.94,9.35,18.94,3.35,1.28,16.07
19.37,29.8,8.05,18.37,3.73,1.22,11.21
17.38,26.75,10.93,13.5,3.69,1.14,11.37
12.65,19.45,20.29,27.8,6.24,1.31,8.76
12.24,18.83,13.48,28.55,7.33,1.25,8.79
5.35,8.23,10.52,23.78,7.23,1.53,8.93
14.62,22.49,9.99,20.07,2.77,1.13,10.31
14.78,22.74,10.59,16.15,3,1.23,10.12
14.51,22.32,10.99,15.98,3.38,1.11,9.99
17.07,26.39,12.15,16.82,3.36,1.02,10.65
10.24,15.75,12.04,17.61,4.41,0.97,10.13
10.84,16.68,10.73,14.79,4.6,0.86,10.16
7.5,11.54,9.67,14.61,4.7,1.05,9.82
12.7,19.7,6.2,12.96,4.76,0.93,10.44
5.64,8.67,5.07,12.07,4.14,1.2,11.07
4.51,6.98,12.32,23.78,13.13,1.51,11.77
4.45,6.85,14.33,29.73,16.02,1.3,10.61
7.56,11.63,12.8,28.74,19.1,1.59,11.3
16.54,25.45,12.2,27.26,10.19,1.31,10.96
16.49,25.35,7.33,16.55,2.4,1.07,12.88
3.14,4.82,6.29,15.02,4.29,0.97,12.56
17.25,26.54,29.93,13.58,49.9,1.18,21.65
10.9,16.77,24.45,14.65,38.31,1.24,31.52
14.63,22.34,31.46,13.26,4.61,0.93,29.46
21.41,32.94,31.64,14.35,3.25,1.72,31.2
27.89,42.91,35.42,13.79,1.19,1.43,33.39
21.14,32.96,31.75,15.79,2.18,1.2,31.55
43.15,66.38,29.84,17.82,2.04,1.12,31.43
78.87,84.45,27.35,12.53,1.76,1.42,32.05
205.66,316.41,24.34,12.52,2.48,1.33,34.44
52,79.98,25.58,22.36,1.71,2.31,35.81
9.24,14.22,20.5,13.43,1.35,2.02,33.98
17.13,26.34,34.16,18.34,2.06,2.08,37.95
27.82,42.8,20.65,19.53,2.51,2.21,33.76
28.38,43.66,25.93,20.91,2.46,2.44,33.99
33.06,50.8,21.45,16.54,2.08,2.12,31.87
33.23,51.13,31.28,16.69,2.14,2.76,30.5
30.69,47.22,28.74,13.93,2.35,3,19.38
44.26,68.1,37.25,20.38,2.73,3.41,23.82
42.24,64.98,31.44,21.75,2.47,2.66,26.48
32.43,49.88,16.42,14.72,2.43,1.78,None
41.62,64.02,17.92,17.08,2.45,3.18,None
44.06,67.79,25.75,18.72,2.45,3.83,None
67.5,103.83,17.48,31.06,1.92,3.53,None
72.9,112.15,38.38,13.65,2.27,2.96,None
62.56,96.25,27.08,16.15,2.32,2.91,29.48
49.7,76.46,19.2,10.06,2.53,1.8,43.42
34.59,53.34,22.84,7.95,2.42,2.27,38.06
46.1,70.92,25.09,11.19,2.69,1.72,33.63
54.69,84.14,27.79,12.98,2.84,1.82,29.32
61,93.84,28.86,10.95,2.23,1.85,39.47
49.3,75.83,34.12,11.69,2.4,1.83,44.07
48.64,74.82,43.77,14,2.47,1.79,47.4
42.19,64.91,21.85,11.27,2.62,1.6,41.36
46.08,70.88,25.8,8.85,2.74,1.89,55.3
49.74,76.52,26.82,10.87,2.33,2.76,45.32
64.28,98.89,34.69,12.53,2.49,2.39,48.8
50.46,77.63,41.87,7.88,2.35,2.15,28.52
66.1,101.69,36.42,13.93,2.33,2.27,9.79
39.23,60.34,33.78,16.17,2.54,2.13,9.23
37.85,58.22,35.8,24.01,2.24,2.06,10.77
35.5,54.62,74.6,22.19,2.24,2.19,15.45
62.38,95.97,38.43,22.06,2.08,2.22,23.93
54.38,83.67,33.99,13.66,None,2.52,29.67
77.51,119.25,36.3,11.51,None,2.23,16.56
52.7,81.07,42.63,8.44,3.21,2.36,13.98
54.1,83.24,37.54,12,2.22,2.86,10.64
69.19,106.45,36.75,12.35,2.4,2.5,11.39
25.07,38.57,29.52,17.41,2.57,2.51,9.63
34.18,52.43,30.17,19.31,2.34,2.69,8.65
53.56,82.4,23.23,18.79,2.54,1.58,8.81
57.27,88.31,27.19,13.57,2.66,2.09,8.58
39.09,60.15,26.14,13.99,2.48,2.8,10.39
35.98,55.36,20.1,24.6,3.16,1.67,9.44
34.94,53.75,18.44,14.99,2.66,2.58,9.57
26.77,41.19,16.57,14.54,2.53,1.81,10.42
29.58,45.5,20.46,17.38,2.85,2.1,13.19
44.61,68.63,20.7,21.82,2.99,2.49,14.79
53.65,82.54,29.42,17.26,3.22,2.14,15.58
42.19,64.81,47.12,14.77,2.81,2.36,11.12
31.58,48.88,47.47,15.77,2.88,2.73,15.78
90.29,141.33,40.84,14.2,2.67,1.95,17.7
111.59,167.16,58.46,12.48,8.33,1.62,15.61
109.81,168.25,51.14,15.89,39.35,1.73,18.96
147.94,188.78,53.84,20.06,30.93,2.7,24.19
108.93,167.6,65.52,17.57,10.35,3.4,38.05
80.8,124.31,47.04,16.81,9.19,4.3,27.07
41.02,63.11,30.74,15.25,14.13,4.07,11.99
56.14,86.36,35.27,13.63,12.88,3.41,19.96
73.08,112.43,36.17,11.53,12.77,3.3,23.68
71.91,110.63,42.85,10.9,9.98,3.23,23.43
24.22,37.26,37.81,12.09,9.5,3.71,21.55
25.5,39.63,34.7,14.52,9.51,4.11,28.67
26.47,40.72,29.23,13.09,9.71,3.53,11.13
13.15,20.22,27.06,12.58,9.92,3.86,12.25
28.27,43.49,29.13,13.98,10.35,2.66,12.99
75.62,116.04,40.04,10.55,9.44,0.89,12.42
56.41,50.36,37.05,10.34,8.01,0.94,11.08
19.18,29.74,50.35,11.92,8.93,0.98,25.19
15.29,23.54,40.57,13.73,11.46,0.92,38.39
15.68,24.13,46.91,10.85,10.49,0.89,38.8
11.94,18.36,41.79,8.83,11.94,0.82,25
2.79,4.29,26.7,9.18,10.61,0.84,10.53
1.93,2.97,24.14,8.15,10.09,0.85,9.71
8.56,13.17,33.04,11.55,12.17,0.99,11.23
12.88,19.93,46.95,10.83,11,1.17,13.37
22.25,34.22,51.6,12.02,11.09,1.03,20.49
76.86,118.26,91.99,13.22,12.82,0.96,23.74
96.57,147.58,61.91,11.68,10.43,1.02,43.06
2.17,3.34,62.5,12.33,11.72,0.91,52.76
1.28,1.97,53.39,11.13,10.68,0.88,79.44
32.5,49.46,39.99,10.33,10.63,0.76,64.64
57.17,87.95,29.56,11.48,9.67,0.87,42.41
45.59,70.15,30.6,10.49,11.66,0.82,38.32
75.52,116.13,30.67,12.78,9.51,1.07,36.3
75.67,116.4,31.99,12.34,8.86,1.02,25.92
75.11,115.56,26.02,11.22,14.12,0.92,26.76
88.31,135.87,29.47,10.62,11.32,0.94,29.24
93.63,144.05,45.95,13.02,10.26,0.94,33.13
117.84,181.29,89.83,15.45,12.26,0.96,32.28
113.53,174.66,60.28,21.19,9.88,1.05,35.8
83.41,128.32,32.09,16.89,10.97,0.88,30.31
52.94,81.44,29.19,13.63,9.89,0.83,21.5
41.87,64.42,33.54,11.45,16.69,0.88,23.9
66.23,101.89,34.21,9.58,19.23,0.78,29.56
104.66,160.99,35.74,10.1,19.72,0.86,35.54
141.91,218.33,50.23,13.18,16.35,0.94,36.21
147.21,226.48,60.22,9.56,21.61,0.88,54.17
119.23,183.42,45.94,10.03,20.23,0.8,58.34
65.87,101.33,33.13,9.83,17.51,0.88,26.07
26.38,40.59,21.27,9.49,19.11,0.77,13.79
39.31,60.48,38.11,12.48,16.37,0.96,10.26
35.42,54.49,26.97,11.1,17.78,0.96,13.17
36.4,56.11,32.86,14.42,19.64,0.98,9.5
51.46,79.17,29.36,14.48,16.6,0.97,9.78
68.08,104.75,32.96,13.67,18.52,0.84,9.96
80.19,123.38,34.58,13.15,20.28,0.86,9.91
110.47,169.93,40.42,14.74,20.2,0.92,16.36
85.52,131.57,34.8,15.44,19.44,0.83,28.93
70.12,107.87,38.38,13.63,18.88,0.9,30.41
86.85,133.61,47.34,14.55,20.34,0.89,31.98
87.81,135.09,46.75,13.75,20.95,0.87,31.8
111.47,171.5,55.27,13.78,18.54,0.88,40.63
125.75,193.94,46.41,12.95,19.46,0.92,65.18
119.11,183.24,41.75,12.64,18.25,0.91,64.8
17.91,27.55,25.72,11.55,19.74,0.72,22.45
21.8,33.54,23.99,11.27,18.01,0.78,18.54
36.09,55.52,28.08,12.01,18.33,0.82,19.96
46.22,71.1,29.35,14.32,17.56,0.89,19.91
50.93,78.35,31.61,14.65,19.5,0.9,27.25
55.72,85.72,30.3,11.91,18.2,0.93,25.15
57.9,89.09,29.43,11.76,18.28,0.88,27.22
80.07,123.2,32.64,13.62,20.37,0.96,28.94
65.24,100.36,27.41,11.38,18.66,0.89,24.69
76.82,118.18,31.31,10.92,17.43,0.93,31.4
79.24,122.11,40.63,11.81,19.02,0.78,41.91
67.28,103.5,37.72,8.8,17.34,0.8,71.05
76.7,118.01,47.09,10.85,16.29,0.75,53.64
92.2,141.85,52.02,11.76,23.03,0.84,41.2
127.73,196.39,42.39,10.26,22.01,0.86,45.06
89.28,137.35,45.38,9.6,18.79,1.02,58.29
96.46,148.41,46.74,9.36,18.53,0.93,55.36
90.1,138.35,42.59,8.98,16.41,0.99,61.8
77.58,119.35,35.11,8.66,16.51,1.01,61.97
82.47,126.17,30.84,9.98,19.67,0.91,43.45
127.89,196.58,32.11,10.32,20.64,0.94,40.76
67.59,103.98,24.97,8.77,18.87,0.83,43.05
59.98,92.28,27.54,9.25,19.96,0.87,48.36
55.43,85.27,23.99,7.7,19.39,0.84,44.51
74.09,113.98,29.97,8.68,16.87,0.8,49.78
81.29,125.05,29.89,7.31,17.31,0.95,48.7
96.77,148.86,30.88,7.63,18.01,1.04,41.79
91.53,140.82,28.25,7.9,18.06,0.86,49.8
86.27,132.71,26.76,8.71,17.36,0.84,77.02
74.83,115.13,26.82,8.16,15.96,0.91,45.59
57.91,89.1,23.96,8.66,16.12,0.81,56.85
90.99,139.98,26.7,9.33,18.71,0.93,59.13
117.87,180.99,26.3,9.11,16.78,0.88,60.77
72.07,110.88,26.75,7.26,17.5,0.78,48.47
103.19,158.76,48.8,7.21,17.98,1.01,49.77
92.93,142.98,23.13,7.13,18.38,1.06,56.47
70.51,108.48,22.88,9.32,20.91,1.12,31.6
82.39,126.76,27.27,7.33,16.85,0.82,38
82.07,126.26,32.36,6.95,20.49,0.88,29.72
72.68,111.82,40.94,6.85,20.56,0.78,53.78
70.24,108.06,33.02,6.9,20.89,0.77,62.85
88.45,136.07,39.36,7.91,19.39,0.94,65.08
72.18,111.05,32.78,7.14,18.41,0.77,58.68
83.25,128.07,31.69,8.23,18.51,0.99,32.74
70.43,108.34,26.86,7.78,19.21,0.93,28.68
69.38,106.74,28.4,7.34,17.64,1.05,28.29
80.49,123.83,26.45,8.17,19.3,1.17,22.07
73.89,113.8,30.54,7.23,16.31,1.01,28.09
92.06,141.62,37.91,7.16,18.88,1.3,37.18
102.82,158.18,38.29,8.04,17.22,1.41,33.37
104.9,161.39,38.45,7.96,18.55,1.21,33.41
89.92,138.34,32.85,8.77,17.36,1.23,31.84
93.04,143.13,33.4,9.43,15.45,1.28,39.31
97.61,150.17,36.14,9.45,16.35,1.26,30.39
103.02,158.47,27.44,11.02,19.55,0.98,25.27
118.04,181.54,22.02,12.16,18.14,1.05,18.52
79.49,122.3,17.5,10.14,15.13,0.82,18.07
76.92,118.32,23.29,10.71,16.98,0.88,19.55
87.78,132.81,23.79,11.57,21.19,0.86,28.53
88.37,135.95,24.19,10.71,24.7,0.9,32.16
80.82,124.34,23.43,10.58,18.95,0.9,24.97
56.61,87.08,20.97,10.37,17.88,0.93,20.17
66.7,102.61,22.27,10.83,17.73,0.93,30.55
73.33,112.12,21.48,11.02,18.5,1,31.14
69.76,107.14,23.29,7.81,19.59,1.07,42.4
70.12,107.88,23.75,7.11,19.67,0.94,49.17
62.91,96.79,26.91,6.66,20.77,0.94,53.91
77.58,119.35,31.43,7.17,20.05,0.98,45.68
89.56,137.79,31.19,8.64,17.54,0.92,39.71
95.08,145.04,None,None,20.33,1,38.01
70.39,108.29,None,None,18.25,0.86,38.44
64.77,99.65,24,9.16,22.19,0.84,31.64
66,101.54,25.64,8.78,18.57,1.05,35.03
59.3,91.23,27.55,8.34,21.06,1.24,39.62
65.4,100.62,27.3,8.21,20.03,1.31,39.95
67.52,103.87,27.05,7.73,23.54,1.28,41.51
76.73,118.44,30.25,9.5,22.26,1.47,44.35
63.96,98.4,24.74,8.14,17.47,1.29,44.72
58.71,90.31,26.96,8.04,17.41,1.41,36.95
71.97,110.72,28.77,9.11,18.7,1.44,40.06
75.54,116.22,25.58,7.9,19.42,1.56,21.89
38.61,59.39,19.67,8.21,18.83,1.33,14.92
47.26,72.65,14.98,10.94,22.24,1.49,18.23
31.95,49.15,17.95,10.07,21.35,1.43,15.12
30.98,47.65,15.18,11,18.77,1.49,14.78
22.22,34.29,16.21,10.97,18.66,1.68,13.37
30.3,46.67,15.78,10.25,19.92,1.37,13.65
23.69,36.45,13.06,7.78,17.47,1.24,13.29
21.71,33.4,13.16,7.84,15.83,1.49,11.91
31.46,48.39,14.9,9.1,18.78,1.34,13.76
20,30.77,13.76,8.54,18.55,1.18,11.32
20.83,32.04,12.99,8.75,19.01,1.1,11.19
24.65,37.92,13.12,9.04,20.07,1.18,12.65
28.14,43.38,18.51,12.71,17.6,1.21,12.41
34.36,52.87,14.19,10.49,20.84,1.26,18.26
39.32,85.68,22.74,16.57,12.53,1.59,12.9
None,62.26,48.33,9.24,2.2,2.41,8.44
None,43.68,122.4,12.91,1.82,1.79,15.56
None,36.13,41.66,15.54,2.07,1.59,19.43
None,45.51,49.04,11.34,2.11,1.48,24.67
None,31.82,43.93,7.34,2.03,1.5,21.74
27.04,38.07,32.62,5.83,2.29,2.03,21.37
24.01,36.94,37.37,5.37,2.29,2.22,19.41
20.98,32.28,44.9,4.59,2.08,2.46,16.71
25.53,39.28,74.54,4.4,2.09,3.58,22.1
34.44,52.99,90.02,2.17,2.03,2.79,22.92
43.26,66.55,77.81,5.58,2.58,2.31,23.87
47.84,73.6,82.81,4.99,2.48,1.29,30.39
59.62,91.72,96.83,3.54,1.86,2.13,30.59
85.18,131.06,88.07,0.72,1.9,2.65,27.43
63.2,97.22,86.97,3.86,2.01,2.71,26.96
51.72,79.56,70.76,2.84,1.95,2.46,27.05
55.25,85,57.34,3.8,2.07,2.47,34.93
66.68,102.58,72.42,9.83,2.4,2.06,30.78
54.37,83.65,60.4,4.6,2.21,1.95,24.55
49.9,76.77,61.84,4.38,2.31,2.29,25.41
52.99,81.85,61.43,5.57,2.31,2.18,29.56
44.3,68.16,42.01,3.73,2.29,2.18,28.69
40.9,62.92,43.66,8.09,2,2.15,23.26
29.73,45.9,40.05,6.15,2,2.31,21.2
33.31,51.25,46.79,3.73,2.08,2.21,20.05
30.94,47.61,49.7,6.92,2.28,2.45,15.46
52.31,80.4,60.18,4.79,2.55,2.05,15.78
59.27,91.19,72.65,2.84,2,2.52,14.63
39.73,61.12,67.48,4.81,2,2.64,14.33
38.99,59.99,52.69,6.4,2,2.45,14.23
32.54,50.05,52.53,4.87,2,1.78,14.65
22.43,34.51,52.73,39.41,2,2.39,14.35
16,24.62,51.88,10.93,2.17,3.47,14.22
36.7,56.46,92.51,1.66,2.21,3.51,14.33
35.11,54.01,89.41,2.41,2.69,2.54,16.52
40.67,62.57,72.94,2.38,2.86,3.51,15.66
36.58,56.27,89.7,3.69,2.71,2.59,17.1
41.53,63.9,80.55,3.48,2.43,2.78,19.72
40.07,61.64,71.6,7,1.75,2.12,22.43
None,None,None,None,None,None,19.13
None,None,42.48,18.09,None,None,18.87
None,None,55.08,17.45,None,None,21.54
None,None,146.53,14.51,None,None,20.77
None,None,60.53,12.8,None,None,16.14
None,None,81.2,9.02,None,None,17.4
67.96,104.55,71.04,12.95,0.95,4.09,18.72
58.15,89.47,57.85,16.38,2.46,2.36,21.62
61.9,95.24,92.34,15.28,2.61,3.43,18.87
44.05,67.77,19.62,22.24,2.42,4.52,16.84
46.36,71.33,223.42,6.71,2.98,4.3,17.97
45.15,69.75,102,10.36,2.12,3.57,18.46
44.06,67.78,81.39,8.48,2.04,3.93,17.65
42.92,66.03,56.49,12.6,2.17,5.29,16.58
44.16,67.94,49.52,14.8,2.38,4.21,19.58
48.39,74.45,75.99,10.36,2.83,3.19,19.13
46.41,71.4,84.3,4.49,2.36,3.61,17.26
49.99,76.91,88.29,23.38,2.71,3.02,20.65
54.44,83.72,154.62,20.11,2.37,2.46,19.59
48.3,74.31,56.74,40.78,2.33,3.88,19.89
64.81,99.71,49.27,30.83,3.12,2.92,19.3
48.76,75.02,52.87,28.95,2.94,3.63,18.27
65.81,101.25,70,26.26,2.84,3.02,19.73
49.13,75.58,80.33,26.53,3.07,4.4,17.86
96.06,98.12,74.15,25.36,2.93,3.32,24.12
54.82,84.33,63.92,33.84,2.55,3.1,20.66
83.79,79.17,84.03,20.42,4.43,4.15,17.76
57.17,87.94,77.86,28.1,3.56,2.56,17.65
41.74,64.21,131.84,20.95,4.44,1.26,17.25
61.51,94.62,72.84,34.97,2.85,1.13,24.97
40.62,63.45,74.92,27.35,2.89,1.17,45.65
38.31,58.93,67.98,26.52,2.34,1.55,44.07
36.36,55.94,94.92,24.91,2.79,1.32,41.32
30.63,47.11,67.45,25.28,2.04,1.77,38.93
32.33,49.75,65.51,24.34,2.2,1.55,40.54
36.42,56.03,94.15,24.8,2.28,1.66,38.82
44.51,68.48,83.12,22.04,1.95,1.47,38.54
53.3,82,84.41,27.61,2.49,1.55,41.05
46.49,71.51,134.43,27.95,3.17,0.85,38.32
48.56,74.72,71.27,33.06,1.61,1.03,39.52
39.68,61.04,48.67,30.76,2.47,1.83,37.02
29.48,45.35,101.44,16.1,3.29,1.41,37.97
32.01,49.25,76.75,19.63,2.53,1.25,36.91
39.6,60.75,59.96,23.89,2.58,2.23,38.98
55.63,85.59,78.43,19.28,3.08,1.65,37.89
47.09,72.45,69.82,24.56,2.77,1.85,38.28
40.23,61.89,75.97,19.63,3.44,1.46,38.15
53.55,82.38,68.89,24.02,2.9,1.91,40.26
41.54,63.9,61.72,22.54,3.03,1.69,38.22
41.26,63.48,61.29,21.86,2.77,2.2,39.32
