,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
354,76.85,213.53,26.84,7.73,3.8,0.59,29.29
355,50.33,213.53,23.99,7.73,7.41,0.63,33.7
356,56.23,213.53,28.61,7.73,3.05,0.64,25.08
357,52.34,213.53,25.83,7.73,5.72,0.7,21.75
358,38.79,213.53,23.56,7.73,4.74,0.57,27.62
359,57.0,213.53,22.97,7.73,6.48,0.57,17.97
360,37.1,213.53,17.39,7.73,6.18,0.66,18.55
361,40.65,213.53,24.61,7.73,4.19,0.76,24.64
362,65.57,213.53,18.82,7.73,5.16,0.53,27.39
363,45.1,213.53,19.81,7.73,4.14,0.6,31.19
364,43.9,213.53,19.34,7.73,4.77,0.42,43.97
365,29.55,213.53,17.41,7.73,3.74,0.52,19.19
366,39.04,213.53,15.83,7.73,4.87,0.54,13.81
367,46.23,213.53,16.22,7.73,5.92,0.83,24.96
368,35.73,213.53,11.56,7.73,6.32,0.56,30.67
369,41.68,213.53,12.93,7.73,8.93,0.38,39.27
370,24.21,213.53,14.66,7.73,7.23,0.59,20.44
371,28.29,213.53,16.8,7.73,5.73,0.44,21.86
372,39.67,213.53,29.01,7.73,6.66,0.45,20.19
373,39.36,213.53,24.78,7.73,3.91,0.62,18.27
374,43.4,213.53,24.33,7.73,5.06,0.51,21.24
375,18.35,213.53,23.92,7.73,3.84,0.55,23.02
376,52.92,213.53,24.97,7.73,7.8,0.56,25.13
377,62.54,213.53,24.73,7.73,11.26,0.62,29.91
378,114.04,213.53,28.18,7.73,11.03,0.72,29.11
379,36.4,213.53,18.36,7.73,4.02,0.46,28.69
380,26.45,213.53,19.99,7.73,4.9,0.44,27.56
381,28.49,213.53,14.18,7.73,3.95,0.46,17.62
382,24.73,213.53,10.74,7.73,3.96,0.6,23.83
383,22.92,213.53,18.86,7.73,3.83,0.56,17.05
384,35.1,213.53,15.55,7.73,4.38,0.59,18.02
385,40.88,213.53,21.06,7.73,3.92,0.55,27.55
386,48.57,213.53,26.47,7.73,2.11,0.54,29.56
387,62.17,213.53,24.76,7.73,1.63,0.58,26.13
388,56.81,213.53,28.35,7.73,3.54,0.86,28.63
389,54.07,213.53,26.51,7.73,3.49,0.71,27.69
390,48.53,213.53,21.88,7.73,5.02,0.61,30.18
391,51.08,213.53,24.31,7.73,4.26,0.73,27.65
392,54.02,213.53,23.24,7.73,5.16,0.71,29.97
393,43.21,213.53,21.34,7.73,3.4,0.59,14.42
394,41.29,213.53,21.8,7.73,3.35,0.51,18.15
395,43.39,213.53,18.35,7.73,4.64,0.57,45.7
396,42.71,213.53,19.75,7.73,4.31,0.42,33.67
397,36.07,213.53,24.69,7.73,4.55,0.5,21.93
398,32.92,213.53,22.64,7.73,4.19,0.63,18.54
399,37.04,213.53,13.68,7.73,3.23,0.6,32.77
400,38.26,213.53,25.42,7.73,3.82,0.66,40.38
401,44.55,213.53,19.86,7.73,3.28,0.6,45.27
402,38.85,213.53,17.82,7.73,3.31,0.52,25.39
403,33.75,213.53,15.59,7.73,3.58,0.49,29.09
404,35.21,213.53,11.4,7.73,3.69,0.35,30.59
405,39.03,213.53,11.87,7.73,5.08,0.5,27.34
406,38.65,213.53,18.36,7.73,5.26,0.52,28.1025
407,37.56,213.53,22.95,7.73,6.67,0.56,4.96
408,46.15,213.53,25.22,7.73,6.28,0.53,11.39
409,74.77,213.53,27.03,7.73,5.44,0.65,34.28
410,66.12,213.53,26.05,7.73,5.91,0.66,28.4
411,46.6,213.53,21.44,7.73,5.77,0.49,29.01
412,34.76,213.53,20.69,7.73,5.02,0.59,17.09
413,53.54,213.53,25.57,7.73,5.28,0.86,16.17
414,47.15,213.53,21.74,7.73,5.3,0.65,26.89
415,33.89,213.53,26.15,7.73,5.02,0.45,31.39
416,46.3,213.53,24.05,7.73,6.29,0.48,15.19
417,34.02,213.53,13.52,7.73,5.13,0.41,18.12
418,31.21,213.53,13.6,7.73,4.31,0.41,29.03
419,42.55,213.53,16.39,7.73,6.24,0.64,23.59
420,45.34,213.53,19.3,7.73,9.87,0.76,30.96
421,40.38,213.53,8.97,7.73,3.4,0.58,30.51
422,40.24,213.53,12.94,7.73,4.4,0.63,17.67
423,35.83,213.53,16.63,7.73,6.12,0.42,26.06
424,46.47,213.53,22.64,7.73,18.43,0.65,28.71
425,36.92,213.53,13.61,7.73,4.55,0.7,49.27
426,41.66,213.53,16.12,7.73,7.49,0.71,13.54
427,47.4,213.53,14.74,7.73,5.91,0.48,37.12
428,44.11,213.53,19.35,7.73,5.04,0.32,24.51
429,44.53,213.53,17.61,7.73,3.89,0.38,13.73
430,25.62,213.53,6.81,7.73,6.68,0.5,16.76
431,21.94,213.53,10.91,7.73,4.43,0.54,34.69
432,15.7,213.53,6.25,7.73,2.78,0.39,14.19
433,25.0,213.53,10.68,7.73,3.67,0.75,14.0
434,23.42,213.53,14.93,7.73,4.03,0.54,36.04
435,18.67,213.53,2.4,7.73,8.53,0.51,18.23
436,23.98,213.53,1.81,7.73,4.65,0.65,16.18
437,34.27,213.53,27.61,7.73,5.03,0.71,18.98
438,33.78,213.53,23.07,7.73,5.72,0.65,20.01
439,44.44,213.53,16.14,7.73,6.52,0.7,20.96
440,30.05,213.53,13.08,7.73,5.01,0.76,11.97
441,33.04,213.53,9.74,7.73,4.75,0.8,18.6
442,31.67,213.53,6.67,7.73,4.64,0.95,18.71
443,34.87,213.53,7.58,7.73,4.21,0.93,15.36
444,31.11,213.53,7.38,7.73,3.81,0.77,13.61
445,27.67,213.53,7.85,7.73,4.11,0.69,29.13
446,27.65,213.53,3.28,7.73,2.07,0.6,22.06
447,30.79,213.53,9.31,7.73,4.42,0.7,19.26
448,22.15,213.53,13.81,7.73,4.89,0.6,8.46
449,15.7,213.53,10.35,7.73,1.35,0.29,11.52
450,32.29,213.53,21.45,7.73,2.09,0.49,10.91
451,21.11,213.53,10.39,7.73,3.36,0.38,12.18
452,28.16,213.53,10.61,7.73,3.17,0.42,11.83
453,21.96,213.53,7.06,7.73,6.92,0.36,17.43
454,22.58,213.53,8.25,7.73,1.64,0.39,13.13
455,24.94,213.53,7.48,7.73,4.93,0.47,13.05
456,24.1,213.53,10.28,7.73,3.94,0.49,13.42
457,26.34,213.53,8.64,7.73,2.34,0.44,13.85
458,26.49,213.53,6.36,7.73,3.37,0.43,12.93
459,23.83,213.53,7.01,7.73,2.58,0.36,11.17
460,17.38,213.53,10.05,7.73,5.2,0.38,13.27
461,13.64,213.53,14.75,7.73,3.81,0.37,11.58
462,9.3,213.53,15.88,7.73,4.68,0.39,13.25
463,10.25,213.53,11.29,7.73,4.1,0.41,12.19
464,14.2,213.53,17.31,7.73,5.26,0.35,11.95
465,63.22,213.53,19.73,7.73,5.97,0.46,12.94
466,17.33,213.53,22.41,7.73,3.9,0.46,13.82
467,13.42,213.53,18.81,7.73,2.57,0.4,12.67
468,16.39,213.53,21.57,7.73,4.35,0.45,16.01
469,14.78,213.53,20.85,7.73,1.41,0.36,16.34
470,14.29,213.53,17.97,7.73,5.85,0.43,16.1
471,45.0,213.53,16.42,7.73,4.95,0.47,19.76
472,9.21,213.53,0.45,7.73,3.18,0.36,13.49
473,7.89,213.53,3.67,7.73,3.56,0.4,12.82
474,7.22,213.53,0.68,7.73,3.02,0.32,12.07
475,8.43,213.53,0.8,7.73,5.15,0.35,13.96
476,8.56,213.53,3.04,7.73,3.7,0.46,16.1
477,9.93,213.53,7.29,7.73,4.65,0.35,13.42
478,7.58,213.53,6.12,7.73,2.65,0.47,13.44
479,6.33,213.53,5.75,7.73,3.1,0.46,14.03
480,10.21,213.53,8.65,7.73,7.6,0.32,14.89
481,9.55,213.53,21.53,7.73,8.58,0.48,15.69
482,9.93,213.53,3.24,7.73,2.01,0.34,12.26
483,5.49,213.53,3.15,7.73,4.66,0.31,14.48
484,9.86,213.53,3.98,7.73,3.86,0.37,20.42
485,1.44,213.53,6.51,7.73,2.93,0.39,21.91
486,10.7,213.53,6.44,7.73,2.79,0.38,21.09
487,12.05,213.53,4.27,7.73,2.59,0.44,22.43
488,12.88,213.53,3.94,7.73,3.88,0.45,20.68
489,4.89,213.53,3.57,7.73,4.94,0.4,16.86
490,57.75,213.53,3.28,7.73,2.42,0.47,20.04
491,11.06,213.53,4.08,7.73,3.09,0.43,28.48
492,13.77,213.53,3.78,7.73,2.49,0.53,28.41
493,10.66,213.53,3.87,7.73,3.79,0.42,29.03
494,8.78,213.53,3.44,7.73,2.25,0.42,15.99
495,7.06,213.53,7.17,7.73,4.52,0.39,16.14
496,7.61,213.53,8.66,7.73,4.75,0.46,19.28
497,7.59,213.53,6.45,7.73,5.56,0.45,19.13
498,43.97,213.53,4.58,7.73,3.98,0.43,19.4
499,3.59,213.53,6.22,7.73,3.96,0.43,23.51
500,11.76,213.53,8.96,7.73,3.16,0.51,20.38
501,25.16,213.53,5.09,7.73,4.8,0.47,24.42
502,3.96,213.53,5.59,7.73,2.82,0.39,19.86
503,7.93,213.53,7.68,7.73,3.32,0.57,17.78
504,25.62,213.53,4.34,7.73,5.6,0.57,24.54
505,27.81,213.53,7.67,7.73,3.17,0.46,23.2
506,17.82,213.53,4.75,7.73,4.74,0.5,45.37
507,13.09,213.53,3.42,7.73,3.15,0.48,33.07
508,16.45,213.53,6.28,7.73,3.78,0.44,15.84
509,15.96,213.53,11.61,7.73,3.34,0.42,20.53
510,12.59,213.53,9.41,7.73,4.35,0.48,18.86
511,18.61,213.53,4.84,7.73,3.9,0.39,10.66
512,13.84,213.53,5.3,7.73,3.53,0.47,16.03
513,23.13,213.53,7.02,7.73,2.47,0.36,14.58
514,41.11,213.53,11.96,7.73,3.9,0.57,26.26
515,21.95,213.53,5.45,7.73,2.83,0.56,38.01
516,13.35,213.53,4.58,7.73,2.54,0.46,28.59
517,72.35,213.53,6.01,7.73,4.35,0.56,6.34
518,11.25,213.53,6.63,7.73,5.25,0.56,21.1
519,16.14,213.53,5.19,7.73,2.13,0.41,38.02
520,10.31,213.53,5.44,7.73,2.64,0.48,63.78
521,12.35,213.53,6.31,7.73,2.58,0.46,34.6
522,90.76,213.53,5.43,7.73,3.34,0.55,4.51
523,15.42,213.53,5.95,7.73,3.9,0.48,14.65
524,24.0,213.53,4.85,7.73,5.33,0.44,16.9
525,18.71,213.53,8.06,7.73,4.29,0.49,38.18
526,18.74,213.53,9.04,7.73,3.29,0.65,41.0
527,24.42,213.53,0.87,7.73,3.52,0.63,72.87
528,353.2,213.53,2.9,7.73,6.74,0.5,42.9
529,16.84,213.53,1.99,7.73,4.07,0.51,31.33
530,17.2,213.53,22.21,7.73,1.37,0.4,33.65
531,18.79,213.53,7.86,7.73,9.09,0.48,28.22
532,22.17,213.53,5.42,7.73,3.97,0.52,34.19
533,35.55,213.53,8.79,7.73,4.37,0.47,28.08
534,15.99,213.53,11.46,7.73,4.64,0.57,76.03
535,17.48,213.53,2.46,7.73,2.38,0.43,60.62
536,275.82,213.53,3.14,7.73,3.58,0.45,77.18
537,18.5,213.53,2.08,7.73,3.65,0.45,53.87
538,17.65,213.53,2.29,7.73,4.09,0.39,78.81
539,10.2,213.53,14.45,7.73,7.0,0.43,76.05
540,37.32,213.53,0.69,7.73,4.1,0.46,71.71
541,19.27,213.53,0.91,7.73,3.28,0.44,60.76
542,16.12,213.53,2.72,7.73,3.27,0.43,54.93
543,33.57,213.53,5.12,7.73,2.79,0.43,56.92
544,14.11,213.53,3.11,7.73,2.07,0.41,91.72
545,13.94,213.53,2.72,7.73,4.4,0.38,58.13
546,13.69,213.53,11.51,7.73,3.91,0.43,77.78
547,15.76,213.53,16.5,7.73,8.83,0.37,51.65
548,20.89,213.53,26.41,7.73,7.61,0.51,65.0
549,6.76,213.53,13.21,7.73,2.66,0.42,70.24
550,8.83,213.53,8.06,7.73,2.87,0.49,77.91
551,15.04,213.53,5.08,7.73,3.43,0.46,62.46
552,17.74,213.53,15.73,7.73,3.21,0.59,77.4
553,16.02,213.53,12.04,7.73,2.73,0.57,61.82
554,19.94,213.53,8.08,7.73,4.14,0.44,33.99
555,13.03,213.53,9.61,7.73,3.08,0.46,34.01
556,16.9,213.53,11.21,7.73,3.21,0.55,24.97
557,14.63,213.53,7.62,7.73,3.88,0.5,28.91
558,11.96,213.53,7.46,7.73,2.52,0.32,28.47
559,10.13,213.53,8.79,7.73,3.61,0.53,29.33
560,24.17,213.53,15.35,7.73,3.08,0.55,34.27
561,25.88,213.53,8.98,7.73,3.19,0.52,34.91
562,24.07,213.53,10.39,7.73,2.83,0.65,23.34
563,36.78,213.53,17.36,7.73,6.21,0.51,35.79
564,26.98,213.53,7.45,7.73,2.82,0.44,24.44
565,19.84,213.53,2.27,7.73,2.52,0.31,17.98
566,39.97,213.53,2.31,7.73,3.13,0.31,23.09
567,42.4,213.53,14.73,7.73,4.02,0.3,20.67
568,38.85,213.53,8.71,7.73,2.64,0.4,24.64
569,42.68,213.53,7.98,7.73,3.8,0.27,38.79
570,57.05,213.53,6.47,7.73,6.52,0.42,26.9
571,60.04,213.53,8.87,7.73,2.57,0.38,21.83
572,49.11,213.53,7.75,7.73,2.23,0.32,14.89
573,41.2,213.53,11.36,7.73,3.36,0.39,17.46
574,29.63,213.53,19.67,7.73,4.82,0.55,14.71
575,19.23,213.53,11.41,7.73,6.33,0.37,10.84
576,29.71,213.53,7.02,7.73,4.06,0.38,20.87
577,14.08,213.53,9.76,7.73,5.48,0.36,20.79
578,11.66,213.53,9.63,7.73,2.05,0.35,18.64
579,20.09,213.53,8.37,7.73,2.55,0.34,27.96
580,11.47,213.53,10.08,7.73,5.91,0.38,10.87
581,51.88,213.53,15.92,7.73,5.44,0.8,14.19
582,12.3,213.53,10.59,7.73,2.31,0.51,16.24
583,23.86,213.53,8.49,7.73,5.17,0.38,21.67
584,13.49,213.53,9.32,7.73,3.71,0.42,15.6
585,100.74,213.53,9.91,7.73,3.76,0.53,17.54
586,24.96,213.53,9.4,7.73,2.92,0.27,6.65
587,25.34,213.53,9.08,7.73,2.58,0.51,18.61
588,27.08,213.53,7.52,7.73,3.82,0.41,19.18
589,26.84,213.53,8.27,7.73,3.13,0.52,18.01
590,23.71,213.53,9.41,7.73,1.88,0.51,18.21
591,18.93,213.53,8.51,7.73,2.04,0.57,15.92
592,15.7,213.53,8.11,7.73,2.7,0.5,15.92
593,22.21,213.53,5.57,7.73,1.86,0.27,22.15
594,22.45,213.53,9.54,7.73,1.98,0.42,22.22
595,30.56,213.53,8.7,7.73,2.14,0.52,16.86
596,26.15,213.53,9.23,7.73,4.14,0.42,31.4
597,32.28,213.53,12.12,7.73,6.04,0.52,16.76
598,26.91,213.53,9.19,7.73,3.32,0.43,22.79
599,28.89,213.53,8.79,7.73,3.77,0.32,14.73
600,30.24,213.53,8.69,7.73,2.82,0.29,14.81
601,27.38,213.53,9.31,7.73,2.83,0.36,18.39
602,28.21,213.53,11.77,7.73,3.69,0.42,15.15
603,22.69,213.53,9.65,7.73,4.41,0.47,20.95
604,26.17,213.53,9.15,7.73,5.96,0.43,26.0
605,28.15,213.53,9.32,7.73,4.36,0.43,15.45
606,28.76,213.53,6.11,7.73,4.35,0.48,16.3
607,27.12,213.53,6.85,7.73,3.61,0.3,7.96
608,20.91,213.53,6.91,7.73,3.5,0.47,6.1
609,37.98,213.53,14.45,7.73,4.6,0.72,21.91
610,58.97,213.53,8.14,7.73,5.26,0.42,19.35
611,25.1,213.53,4.23,7.73,4.93,0.42,15.67
612,21.76,213.53,4.11,7.73,2.46,0.42,17.22
613,46.91,213.53,3.68,7.73,2.85,0.35,13.12
614,32.38,213.53,3.73,7.73,3.87,0.35,32.27
615,45.31,213.53,4.04,7.73,6.64,0.43,29.11
616,39.56,213.53,4.23,7.73,5.86,0.47,37.42
617,52.91,213.53,3.68,7.73,3.41,0.39,36.78
618,39.5,213.53,5.62,7.73,4.49,0.31,13.14
619,68.69,213.53,4.62,7.73,4.31,0.39,16.87
620,23.85,213.53,3.19,7.73,3.22,0.28,13.76
621,17.24,213.53,6.37,7.73,2.67,0.21,8.35
622,17.31,213.53,1.99,7.73,3.31,0.29,12.7
623,28.02,213.53,8.53,7.73,3.47,0.33,10.67
624,24.78,213.53,10.96,7.73,3.45,0.34,11.94
625,35.96,213.53,13.53,7.73,3.68,0.36,13.58
626,36.16,213.53,11.28,7.73,3.47,0.35,12.61
627,22.31,213.53,11.33,7.73,4.11,0.32,10.39
628,29.61,213.53,10.41,7.73,3.15,0.21,10.79
629,33.45,213.53,11.09,7.73,3.94,0.31,11.1
630,29.1,213.53,12.69,7.73,4.66,0.14,5.15
631,34.35,213.53,14.63,7.73,4.8,0.19,13.06
632,36.2,213.53,12.17,7.73,3.24,0.18,13.05
633,37.03,213.53,15.51,7.73,4.41,0.2,12.07
634,33.65,213.53,13.27,7.73,3.42,0.25,12.77
635,16.44,213.53,9.65,7.73,3.35,0.22,12.03
636,70.48,213.53,11.77,7.73,3.7,0.23,10.24
637,113.83,213.53,12.65,7.73,5.74,0.19,13.79
638,9.26,213.53,8.76,7.73,21.47,0.19,13.39
639,18.17,213.53,9.55,7.73,3.63,0.32,15.72
640,26.85,213.53,10.65,7.73,4.49,0.22,28.34
641,21.12,213.53,10.74,7.73,6.02,0.3,17.81
642,18.29,213.53,11.1,7.73,3.34,0.24,19.149999999999995
643,18.36,213.53,13.31,7.73,3.72,0.26,22.029999999999994
644,35.4,213.53,11.43,7.73,3.67,0.23,36.03
645,26.35,213.53,10.46,7.73,3.02,0.29,36.03
646,23.04,213.53,10.51,7.73,3.26,0.34,36.03
647,25.75,213.53,10.67,7.73,4.02,0.3,36.03
648,31.2,213.53,10.45,7.73,5.09,0.43,4.44
649,17.22,213.53,10.02,7.73,6.6,0.19,24.8
650,16.27,213.53,9.74,7.73,6.93,0.39,3.5
651,17.92,213.53,10.59,7.73,5.17,0.13,10.5
652,19.04,213.53,10.75,7.73,2.26,0.17,10.88
653,24.99,213.53,13.25,7.73,4.17,0.21,1.16
654,16.9,213.53,16.75,7.73,3.91,0.2,9.88
655,35.74,213.53,16.08,7.73,7.51,0.24,10.14
656,25.61,213.53,15.95,7.73,3.8,0.24,3.03
657,31.88,213.53,15.43,7.73,3.99,0.26,10.81
658,28.79,213.53,15.37,7.73,5.16,0.31,7.84
659,17.85,213.53,15.82,7.73,4.41,0.48,7.955
660,23.54,213.53,15.58,7.73,3.73,0.7,7.226666666666667
661,23.89,213.53,15.87,7.73,2.62,0.42,11.09
662,34.14,213.53,15.69,7.73,3.07,0.23,8.98
663,57.93,213.53,15.79,7.73,3.64,0.2,8.77
664,64.92,213.53,15.75,7.73,3.74,0.3,9.04
665,61.57,213.53,15.64,7.73,5.04,0.18,8.12
666,36.42,213.53,15.81,7.73,3.29,0.45,9.24
667,30.29,213.53,15.82,7.73,3.59,0.27,6.44
668,57.04,213.53,15.81,7.73,6.58,0.2,10.31
669,71.96,213.53,15.23,7.73,15.39,0.27,7.25
670,70.3,213.53,15.97,7.73,8.63,0.47,7.83
671,47.12,213.53,16.72,7.73,7.17,0.26,7.3
672,43.31,213.53,15.97,7.73,2.87,0.34,8.31
673,26.88,213.53,13.42,7.73,7.04,0.31,8.51
674,25.95,213.53,13.31,7.73,2.3,0.31,7.57
675,12.79,213.53,13.08,7.73,9.24,0.57,7.69
676,18.55,213.53,13.18,7.73,5.14,1.0,8.06
677,52.62,213.53,12.66,7.73,5.93,1.0,11.34
678,54.12,213.53,12.75,7.73,6.79,1.0,7.75
679,58.84,213.53,12.71,7.73,7.46,1.0,7.89
680,57.23,213.53,12.88,7.73,6.22,1.0,9.6
681,18.67,213.53,13.16,7.73,6.59,0.65,7.71
682,25.29,213.53,13.3,7.73,8.7,0.39,8.2
683,47.71,213.53,15.04,7.73,29.17,0.83,14.06
684,42.13,213.53,18.4,7.73,26.61,1.0,7.91
685,24.15,213.53,12.89,7.73,6.62,0.63,5.19
686,34.51,213.53,11.48,7.73,4.36,0.73,8.55
687,21.36,213.53,11.32,7.73,4.36,0.74,8.42
688,16.91,213.53,11.21,7.73,4.37,0.74,6.1
689,21.05,213.53,11.6,7.73,4.35,0.74,4.19
690,21.01,213.53,11.27,7.73,4.4,0.74,5.97
691,21.04,213.53,11.26,7.73,4.37,0.73,7.68
692,25.31,213.53,12.5,7.73,6.22,0.72,11.98
693,34.73,46.69,7.78,7.73,12.51,0.69,7.455000000000001
694,25.522499999999997,130.11,10.7025,7.73,6.874999999999998,0.72,8.543333333333335
695,27.02666666666666,130.11,10.513333333333334,7.73,7.699999999999998,0.7133333333333334,9.830000000000002
696,30.84,139.94,10.14,7.73,12.53,0.68,11.98
697,21.25,49.39,5.32,7.73,7.89,0.72,10.71
698,21.01,94.66499999999999,21.34,7.73,4.36,0.73,6.94
699,20.89,94.66499999999999,12.83,7.73,4.37,0.73,12.72
700,26.44,94.66499999999999,11.7,7.73,4.36,0.73,9.53
701,36.74,49.39,9.5,7.73,4.39,0.73,4.18
702,16.72,50.088490566037734,5.32,7.73,4.38,0.73,7.02
703,9.91,50.786981132075475,13.65,7.73,4.39,0.74,4.19
704,9.14,51.48547169811321,5.57,7.73,4.36,0.73,6.52
705,7.48,52.18396226415094,3.99,7.73,4.37,0.73,7.91
706,7.66,52.88245283018868,4.0,7.73,4.41,0.73,9.24
707,16.25,53.58094339622642,5.62,7.73,4.37,0.74,8.02
708,20.84,54.27943396226415,6.96,7.73,4.41,0.74,8.59
709,24.9,54.97792452830189,7.94,7.73,4.36,0.73,7.61
710,30.81,55.676415094339625,6.130000000000001,7.73,4.35,0.73,3.88
711,23.2,56.37490566037736,6.840000000000001,7.73,4.372499999999998,0.7350000000000001,7.025
712,25.516666666666666,57.0733962264151,7.450000000000001,7.73,4.37333333333333,0.7333333333333334,6.693333333333334
713,27.854999999999997,57.77188679245283,7.94,7.73,4.354999999999996,0.73,5.745000000000001
714,44.25,58.470377358490566,11.95,7.73,13.78,1.25,10.44
715,46.47,59.1688679245283,14.64,7.73,8.26,1.04,6.96
716,30.4,59.86735849056604,18.78,7.73,8.24,0.7,8.93
717,37.05,60.565849056603774,18.4,7.73,8.21,0.7,7.7
718,42.22,61.264339622641515,19.98,7.73,8.23,0.7,7.48
719,47.58,61.96283018867925,22.59,7.73,8.23,0.7,8.59
720,44.6,62.66132075471698,25.13,7.73,8.25,0.7,8.46
721,43.84,63.359811320754716,27.86,7.73,8.19,0.7,8.26
722,48.6,64.05830188679246,33.9,7.73,8.22,0.7,7.71
723,45.65,64.7567924528302,11.01,7.73,8.26,0.69,11.19
724,65.72,65.45528301886793,11.29,7.73,8.27,0.7,3.9
725,38.18,66.15377358490566,11.29,7.73,8.24,0.7,8.21
726,49.41,66.8522641509434,11.29,7.73,8.23,0.7,8.6
727,43.01,67.55075471698113,11.29,7.73,8.24,0.7,8.03
728,24.22,68.24924528301887,11.29,7.73,8.22,0.7,12.82
729,19.61,68.94773584905661,11.3,7.73,8.22,0.7,8.45
730,20.47,69.64622641509435,11.3,7.73,8.24,0.7,8.78
731,21.25,70.34471698113208,11.29,7.73,8.21,0.7,8.71
732,19.56,71.04320754716981,11.3,7.73,8.22,0.7,5.1
733,15.26,71.74169811320755,11.28,7.73,8.21,0.7,6.89
734,14.11,72.4401886792453,11.28,7.73,8.21,0.7,8.55
735,7.81,73.13867924528302,11.29,7.73,8.21,0.7,1.83
736,9.13,73.83716981132076,13.2,7.73,7.64,0.7,7.44
737,15.77,74.5356603773585,13.7,7.73,6.55,0.7,7.72
738,21.89,75.23415094339623,11.3,7.73,6.58,0.7,7.49
739,39.71,75.93264150943396,11.29,7.73,6.58,0.7,8.63
740,53.3,76.6311320754717,11.29,7.73,6.6,0.7,9.09
741,52.05,77.32962264150945,11.3,7.73,6.56,0.7,9.29
742,48.36,78.02811320754718,11.29,7.73,6.55,0.7,10.58
743,78.43,78.72660377358491,12.57,7.73,8.87,0.75,7.73
744,62.58,79.42509433962265,11.3,7.73,8.24,0.7,9.83
745,67.06,80.12358490566038,11.29,7.73,8.2,0.7,9.37
746,55.13,80.82207547169813,11.28,7.73,8.22,0.7,9.63
747,48.67,81.52056603773585,11.29,7.73,8.21,0.7,9.31
748,73.34,82.2190566037736,11.27,7.73,8.24,0.7,11.17
749,68.29,82.91754716981133,11.3,7.73,8.19,0.7,9.83
750,78.54,83.61603773584906,11.31,7.73,8.24,0.7,7.59
751,45.74,84.3145283018868,11.3,7.73,8.23,0.7,5.19
752,21.65,85.01301886792453,11.28,7.73,8.24,0.7,4.34
753,25.63,85.71150943396228,11.27,7.73,8.22,0.7,5.9
754,27.12,86.41,11.29,7.73,8.23,0.7,7.99
755,26.0,87.10849056603774,11.28,7.73,8.25,0.7,5.62
756,31.23,87.80698113207548,11.29,7.73,8.24,0.7,8.23
757,37.24,88.50547169811321,13.09,7.73,9.55,0.7,12.31
758,47.09,89.20396226415096,14.22,7.73,10.0,0.7,11.47
759,39.29,89.90245283018868,12.41,7.73,8.27,0.7,13.8
760,35.83,90.60094339622643,12.41,7.73,8.25,0.7,16.09
761,45.11,91.29943396226416,12.39,7.73,8.22,0.7,12.59
762,45.04,91.9979245283019,11.77,7.73,5.87,0.7,10.2
763,44.98,92.69641509433963,11.3,7.73,4.1,0.7,13.57
764,45.02,93.39490566037736,11.29,7.73,4.09,0.7,19.93
765,34.92,94.09339622641511,11.3,7.73,4.12,0.7,13.3
766,60.59,94.79188679245283,11.28,7.73,4.11,0.7,16.81
767,75.51,95.49037735849058,11.3,7.73,4.14,0.7,17.68
768,98.21,96.18886792452831,11.28,7.73,4.12,0.7,11.49
769,52.7,96.88735849056604,11.3,7.73,4.07,0.7,17.11
770,62.94,97.58584905660379,11.3,7.73,4.12,0.7,19.94
771,68.14,98.28433962264151,11.28,7.73,4.11,0.7,13.62
772,37.87,98.98283018867926,11.27,7.73,4.1,0.7,9.28
773,44.68,99.68132075471699,11.3,7.73,4.11,0.7,13.78
774,41.65,100.37981132075473,11.28,7.73,4.12,0.7,7.72
775,42.52,101.07830188679246,11.28,7.73,4.11,0.7,5.41
776,40.52,101.7767924528302,11.29,7.73,4.1,0.7,8.02
777,46.93,102.47528301886794,11.28,7.73,4.13,0.7,10.31
778,61.99,103.17377358490566,11.28,7.73,4.1,0.7,7.78
779,58.55,103.87226415094341,11.31,7.73,4.12,0.7,13.45
780,59.61,104.57075471698114,11.28,7.73,4.11,0.7,11.58
781,22.96,105.26924528301888,11.28,7.73,4.12,0.7,13.22
782,13.75,105.96773584905662,11.29,7.73,4.12,0.7,21.05
783,28.94,106.66622641509434,21.91,7.73,4.11,0.7,10.84
784,57.12,107.36471698113209,49.24,7.73,9.39,0.7,10.02
785,36.89,108.06320754716982,40.71,7.73,20.75,0.7,6.45
786,42.67,108.76169811320756,7.89,7.73,21.46,0.7,7.63
787,42.47,109.46018867924529,8.71,7.73,24.53,0.7,6.78
788,27.6,110.15867924528303,15.14,7.73,25.89,0.7,4.3
789,23.78,110.85716981132077,5.24,7.73,27.72,0.7,5.43
790,25.36,111.55566037735849,5.37,7.73,29.28,0.7,4.97
791,36.1,112.25415094339624,5.95,7.73,27.12,0.7,4.92
792,55.96,112.95264150943397,6.88,7.73,30.78,0.7,6.68
793,84.72,113.65113207547171,5.08,7.73,33.51,0.7,5.85
794,38.6,114.34962264150944,10.17,7.73,31.28,0.7,6.92
795,39.86,115.04811320754717,5.79,7.73,30.91,0.7,4.9
796,95.47,115.74660377358492,4.52,7.73,32.76,0.7,5.35
797,43.95,116.44509433962266,5.28,7.73,31.5,0.7,3.41
798,61.83,117.14358490566039,4.75,7.73,33.17,0.7,4.45
799,33.77,117.84207547169812,5.82,7.73,32.42,0.7,4.67
800,14.39,118.54056603773586,4.07,7.73,28.24,0.7,4.54
801,26.06,119.23905660377359,4.95,7.73,29.58,0.7,4.42
