,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
845,25.86,51.71,3.7,13.58,39.04,0.7,6.7
846,34.19,68.39,3.49,14.0,39.31,0.7,12.31
847,32.35,64.7,5.45,12.27,36.95,0.7,15.92
848,35.72,71.43,6.17,12.93,35.73,0.7,10.5
849,32.45,64.91,5.63,9.57,38.54,0.7,8.21
850,24.1,48.21,4.39,11.22,45.13,0.7,13.35
851,19.88,39.77,3.97,15.89,46.1,0.7,21.27
852,9.83,19.67,2.22,13.28,42.34,0.7,22.34
853,12.5,25.01,3.43,13.94,41.99,0.7,43.35
854,15.28,30.57,3.48,14.47,45.15,0.7,20.46
855,15.48,30.96,3.32,13.1,44.94,0.7,37.36
856,13.09,26.18,3.76,10.05,48.69,0.7,33.08
857,10.7,21.41,3.15,15.19,50.55,0.7,66.47
858,13.39,26.74,3.93,21.35,50.9,0.7,24.19
859,14.15,28.54,4.77,20.79,52.5,0.7,22.34
860,9.95,19.88,2.73,18.76,23.96,0.7,2.39
861,10.79,21.57,3.65,22.1,7.98,0.7,4.68
862,13.22,26.46,3.09,21.78,17.84,0.7,2.34
863,13.02,26.0,2.41,7.0,3.83,0.7,21.15
864,14.61,29.22,2.56,6.57,2.69,0.7,20.42
865,13.99,27.82,2.94,6.72,2.74,0.7,14.95
866,13.15,26.3,2.55,4.02,4.37,0.7,12.25
867,16.82,33.63,3.32,9.82,4.76,0.7,18.85
868,18.74,37.47,2.41,7.15,5.17,0.7,29.45
869,16.52,33.05,2.13,9.11,5.2,0.7,30.8
870,16.78,33.56,4.59,12.41,6.09,0.7,26.64
871,15.54,30.92,5.34,8.43,7.36,0.7,20.32
872,19.28,38.55,5.83,11.36,12.2,0.7,14.86
873,24.34,48.63,6.65,18.93,14.61,0.7,12.64
874,25.23,50.17,5.88,22.99,21.09,0.7,38.94
875,30.42,60.84,5.97,26.88,22.57,0.7,15.53
876,24.75,49.5,5.42,39.46,56.43,0.7,15.54
877,29.25,58.51,4.9,42.4,72.15,0.7,11.1
878,29.76,59.51,4.59,38.36,65.14,0.7,14.96
879,30.94,61.88,5.62,42.46,80.52,0.7,13.85
880,23.15,46.29,5.98,40.33,72.03,0.7,17.79
881,18.4,36.81,4.75,41.98,77.13,0.7,11.0
882,20.3,40.59,5.04,43.18,90.63,0.7,14.08
883,20.54,41.09,5.08,38.84,86.64,0.7,12.35
884,20.39,40.78,3.63,21.67,31.8,0.7,14.32
885,15.7,31.39,2.73,13.06,18.67,0.7,8.39
886,16.08,32.16,2.71,10.49,18.42,0.7,20.14
887,15.61,31.22,3.04,8.79,17.06,0.7,23.29
888,21.21,42.43,4.38,9.29,16.84,0.7,20.77
889,19.15,38.3,4.93,8.33,18.97,0.7,12.07
890,24.22,48.43,5.04,9.24,17.53,0.7,11.93
891,20.1,40.19,4.64,9.94,17.56,0.7,2.53
892,27.6,55.19,5.02,10.22,17.57,0.7,0.68
893,26.23,52.86,5.56,15.27,26.43,0.7,11.5
894,12.67,25.3,3.28,11.05,0.42,0.7,16.04
895,18.6,37.2,6.0,13.52,3.91,0.7,8.09
896,25.77,51.55,5.4,12.53,6.1,0.7,12.01
897,38.24,76.42,7.84,11.92,8.63,0.7,11.47
898,44.83,90.04,5.92,16.25,10.27,0.7,14.52
899,48.53,97.06,5.46,27.91,26.97,0.7,10.12
900,50.73,101.85,6.61,32.97,26.84,0.7,9.87
901,44.86,89.71,4.69,40.38,63.15,0.7,6.32
902,41.34,82.68,8.53,50.5,93.56,0.7,8.5
903,41.79,83.13,6.23,26.06,30.92,0.7,16.74
904,46.41,92.82,6.49,18.32,6.84,0.7,21.5
905,34.39,69.1,6.49,11.78,9.45,0.7,10.5
906,39.01,89.87,10.45,11.53,10.06,0.69,27.13
907,45.62,91.23,6.92,12.85,0.7,0.7,48.12
